,Negotiation,Equality,Communal Sharing,Spatial Distance,Endurance,Synchronicity,Activity Intensity,Importance for society,Activeness,Uniqueness,Goods Exchange,Attachment,Love Expression,Socioemotional,Occupational,Mating,Information Exchange,Conflict,Valence Evaluation,Coercion,Affiliation/Coalition,Service Exchange,Visibility,Strategic,Formality and Regulation,Concreteness,Expected Reciprocity,Importance for individuals involved,Intimacy,Money Exchange
Manager - Assistant,41.66666667,10.2,28,77.9375,61.5625,75.85714286,55.9,64.30769231,81.92307692,65.1875,34.1875,37.3125,19.07692308,11.83333333,95.61111111,2.181818182,86.83333333,41.57142857,67.78571429,52.88888889,78.05882353,78.52941176,81.375,84.75,84.36363636,58.6,63.5,67.15789474,18.28571429,72.0625
Chief - Deputy,35.23529412,11.88235294,45.14285714,76.31818182,68.2,75.41666667,74,90.84210526,68.5,58.5,21.70588235,54.15384615,26.28571429,17.0952381,88.15789474,3.714285714,89.09090909,38.33333333,80.68421053,33.2,87.35294118,61.55555556,80.5625,58.29411765,89.64705882,46.5625,54.61538462,78.625,7,42.42857143
Supervisor - Subordinate,53.84210526,4.5,25.5,71.13333333,49.05555556,80.18181818,52.26086957,74.3,82.6,43.25,36.2,29,11.5625,10.61904762,95.46153846,0.631578947,87.53846154,41.47368421,68.16666667,47,73,64.64285714,70.37037037,90.08,91.73684211,55.95,49.6,67.33333333,9.157894737,55.94117647
Boss - Secretary,38.42105263,7.764705882,18.58823529,77.88235294,72.72727273,85.8,58.63157895,57.35,73.44444444,81.07692308,34.94736842,37.125,21.0952381,7.5,98.53333333,4.363636364,88.21052632,34.21052632,83.1,35.125,77.6,91.82352941,75,72.78571429,94.9,65.52941176,62.6875,66.7826087,7.769230769,86.875
Entrepreneur - Investor,75.93333333,27.69230769,5.230769231,45.13333333,53.21052632,65.15789474,47.1875,69.5,70,45.8,61.8,29.63636364,8.142857143,14.6875,93.875,1.736842105,80.76470588,33.25,87.9,13.3125,55.65,80.07692308,43.42105263,97,97.13333333,96.75,76.72727273,65.05263158,7.294117647,97.46666667
Intern - Employee,58.25,28.58823529,22.15,78.38888889,31.72222222,68.26315789,48.85714286,59.88235294,72.89473684,54.05555556,26.71428571,27.5,17.68421053,8.681818182,90.6,8.454545455,77.66666667,32.4375,72.64285714,27.875,68.40909091,66.72222222,72.6,81.38095238,91.45454545,66,73.69230769,50.56521739,10.5,44.28571429
Lawyer - Client,67.35294118,25.26315789,8.421052632,76.47619048,34.04347826,75.72222222,51.4375,73.57142857,71.28571429,50.9375,54,45.75,13.66666667,3.052631579,93.7,12.94736842,89.83333333,29.55555556,87.75,40.6875,52.0952381,91.66666667,30.88888889,91.875,96.05555556,65.90909091,57.88235294,66.71428571,18.28571429,94
Judge  - Lawyer,77.85714286,11.25,9.642857143,74.13636364,31.375,73.16666667,51.05,80.04761905,71,31.42857143,14.3,22.13043478,11.9375,15.29411765,92.5,2.823529412,87.07142857,54.27777778,52.84210526,37.19230769,60.30769231,66.04166667,66.70588235,86.88235294,95,64.91666667,43.86666667,46.72727273,3.941176471,33.57894737
Victim - Criminal,9.1,19.55555556,6.916666667,66.42105263,21.6875,64.65217391,29.75,56.94117647,55.46666667,67.29411765,41.11111111,33.0625,0.1,37.0625,13.15384615,8.647058824,33.83333333,94.72222222,8.3125,80.35294118,13.13333333,15.05882353,58.84615385,37.05882353,36.21428571,56.76923077,8.142857143,24.95238095,11.8,43.10526316
Drug dealer - Addict,66.61111111,16.73333333,7.714285714,71.31818182,38.65,74.17647059,41.4375,11.05263158,84.43478261,33.9375,99.42857143,50.17391304,7.888888889,14.55555556,71.88888889,3.7,24.84615385,59.19047619,54.16666667,49.58333333,54.79166667,77.84210526,8.666666667,72.53846154,52.125,93.15384615,66.52941176,54.125,10.21428571,97.61904762
